team,season,name,team.1,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
TOR,20252026,TOR,TOR,Team Level,all,81,0.46,0.45,0.45,296216.0,2407.18,236.77,165.18,577.97,80.07,1262.22,918.78,225.74,236.3,225.32,2140.0,1101.0,1073.0,4314.0,251.0,260.0,32.0,457.0,5.0,1049.0,1219.0,1889.0,2990.0,279.0,626.0,2474.0,1842.0,375.0,1310.0,2344.0,653.0,244.0,69.86,80.01,86.89,91.0,89.0,71.0,4280.36,3241.0,3222.91,618.0,36.98,50.62,50.62,223.13,222.81,217.37,2902.97,280.5,201.49,699.1,96.97,1567.29,1122.65,267.55,282.51,269.44,2625.0,1343.0,1367.0,5335.0,292.0,288.0,30.0,544.0,5.0,1432.0,1407.0,2333.0,3676.0,250.0,570.0,2081.0,1469.0,381.0,1262.0,2988.0,693.0,287.0,90.08,85.64,104.78,121.0,96.0,75.0,5402.6,3968.0,4008.73,589.0,45.1,59.87,61.19,264.42,266.02,257.9
OTT,20252026,OTT,OTT,Team Level,all,81,0.55,0.53,0.54,294417.0,2629.43,266.9,187.71,629.84,86.34,1398.45,987.76,253.53,268.93,255.47,2334.0,1223.0,1249.0,4806.0,272.0,274.0,33.0,452.0,8.0,1262.0,1289.0,2062.0,3285.0,299.0,666.0,2482.0,1926.0,408.0,1138.0,2573.0,690.0,294.0,76.31,86.02,104.56,103.0,87.0,82.0,4849.54,3557.0,3587.16,553.0,42.25,59.77,60.12,249.03,250.6,243.7,2228.28,219.38,154.81,533.95,74.88,1199.88,865.09,207.47,218.7,206.86,1981.0,1067.0,1187.0,4235.0,244.0,240.0,32.0,433.0,4.0,1113.0,1014.0,1737.0,2804.0,321.0,724.0,2074.0,1874.0,355.0,1261.0,2247.0,578.0,223.0,66.11,71.24,82.04,83.0,103.0,58.0,4209.62,3048.0,3030.33,650.0,34.84,50.95,50.95,203.27,202.81,195.68
PIT,20252026,PIT,PIT,Team Level,all,82,0.51,0.5,0.5,300212.0,2634.64,272.39,193.62,616.08,89.41,1411.73,1019.78,257.12,275.16,259.79,2343.0,1260.0,1274.0,4877.0,290.0,297.0,28.0,451.0,8.0,1291.0,1266.0,2053.0,3313.0,269.0,588.0,2181.0,1444.0,406.0,1341.0,2566.0,733.0,304.0,81.35,90.0,101.04,116.0,96.0,78.0,4944.34,3603.0,3649.13,606.0,43.31,61.4,61.74,253.95,256.62,247.59,2591.9,259.17,184.96,613.21,87.36,1402.02,998.29,244.23,258.05,243.22,2245.0,1300.0,1331.0,4876.0,258.0,270.0,33.0,484.0,7.0,1287.0,1239.0,1987.0,3287.0,266.0,581.0,2343.0,1740.0,362.0,1336.0,2590.0,674.0,281.0,77.68,83.12,98.39,98.0,87.0,73.0,4838.59,3545.0,3529.11,623.0,41.43,56.23,56.28,244.33,243.81,235.57
MTL,20252026,MTL,MTL,Team Level,all,82,0.5,0.48,0.49,300433.0,2483.65,268.31,166.3,577.39,84.14,1325.31,971.54,252.13,269.3,253.07,2157.0,1236.0,1209.0,4602.0,279.0,237.0,29.0,462.0,8.0,1227.0,1180.0,1878.0,3114.0,332.0,723.0,2292.0,1810.0,364.0,1120.0,2420.0,693.0,280.0,77.8,83.19,107.33,107.0,93.0,79.0,4622.44,3393.0,3405.91,506.0,37.27,49.67,50.04,255.56,256.49,245.88,2594.69,273.39,177.56,616.69,87.07,1362.21,969.09,256.93,273.76,257.31,2282.0,1204.0,1431.0,4917.0,251.0,313.0,25.0,465.0,4.0,1252.0,1201.0,2031.0,3235.0,325.0,713.0,2204.0,1824.0,363.0,1254.0,2414.0,759.0,313.0,74.6,92.82,105.97,85.0,96.0,70.0,4910.92,3486.0,3482.81,569.0,39.94,64.46,64.51,248.82,249.13,239.56
ANA,20252026,ANA,ANA,Team Level,all,81,0.51,0.52,0.52,297031.0,2851.24,279.31,196.04,692.29,97.93,1522.44,1096.13,265.43,277.63,263.88,2487.0,1399.0,1365.0,5251.0,260.0,335.0,40.0,537.0,5.0,1348.0,1401.0,2227.0,3626.0,302.0,694.0,2260.0,1702.0,411.0,1270.0,2827.0,783.0,276.0,84.96,97.72,96.63,86.0,99.0,75.0,5206.34,3886.0,3856.63,570.0,43.92,68.53,68.6,254.56,253.4,246.67,2631.52,273.47,183.12,627.23,89.16,1390.16,1006.86,260.71,275.73,262.87,2305.0,1265.0,1275.0,4845.0,284.0,282.0,27.0,498.0,9.0,1268.0,1229.0,2021.0,3286.0,314.0,710.0,2452.0,1518.0,378.0,1380.0,2530.0,762.0,278.0,79.43,93.13,100.91,101.0,108.0,75.0,4903.9,3570.0,3609.0,639.0,41.4,56.25,56.77,258.09,260.15,253.5
FLA,20252026,FLA,FLA,Team Level,all,81,0.5,0.53,0.52,294763.0,2644.38,262.34,184.06,636.08,89.8,1413.31,1014.41,247.29,262.6,247.54,2269.0,1331.0,1348.0,4948.0,238.0,303.0,35.0,510.0,7.0,1285.0,1257.0,2031.0,3362.0,348.0,770.0,2174.0,2014.0,339.0,1154.0,2621.0,698.0,281.0,79.32,86.62,96.41,85.0,87.0,66.0,4938.12,3600.0,3600.89,548.0,41.44,58.98,59.03,244.75,245.0,236.74,2454.93,262.64,169.36,590.49,84.49,1293.58,941.45,248.03,263.8,249.08,2172.0,1170.0,1097.0,4439.0,273.0,280.0,40.0,429.0,8.0,1099.0,1253.0,1899.0,3069.0,345.0,774.0,2471.0,1628.0,400.0,1229.0,2388.0,651.0,303.0,70.59,79.88,112.17,96.0,96.0,81.0,4463.9,3342.0,3354.99,599.0,38.07,61.7,62.08,238.64,239.57,233.22
CAR,20252026,CAR,CAR,Team Level,all,82,0.56,0.59,0.59,299814.0,3075.26,300.64,205.63,759.64,103.51,1622.84,1174.74,285.77,303.09,288.1,2638.0,1529.0,1584.0,5751.0,291.0,312.0,28.0,644.0,4.0,1525.0,1391.0,2347.0,3876.0,278.0,588.0,2495.0,1635.0,470.0,1325.0,3072.0,767.0,328.0,94.41,94.64,111.6,106.0,105.0,80.0,5835.07,4167.0,4224.98,571.0,45.82,60.35,60.63,285.83,287.92,279.87,2192.66,235.15,154.92,516.37,73.94,1135.92,833.7,224.03,233.97,222.93,1963.0,987.0,1001.0,3951.0,236.0,259.0,29.0,349.0,3.0,1006.0,1097.0,1727.0,2714.0,286.0,605.0,2483.0,1930.0,354.0,1360.0,2032.0,656.0,262.0,64.53,80.32,90.29,71.0,96.0,69.0,3906.3,2950.0,2922.58,692.0,34.93,55.97,55.97,214.11,213.41,208.04
MIN,20252026,MIN,MIN,Team Level,all,82,0.52,0.49,0.5,300590.0,2676.49,265.88,191.21,632.15,90.53,1443.88,1036.34,252.09,268.13,254.2,2394.0,1266.0,1238.0,4898.0,268.0,304.0,28.0,468.0,3.0,1316.0,1301.0,2126.0,3392.0,263.0,600.0,2192.0,1742.0,374.0,1221.0,2675.0,690.0,295.0,78.16,83.0,104.73,99.0,89.0,80.0,4959.78,3660.0,3700.44,534.0,43.17,59.52,59.97,249.09,250.93,243.1,2672.88,242.92,186.69,645.83,89.74,1469.78,1046.05,230.84,241.75,229.78,2414.0,1267.0,1405.0,5086.0,235.0,270.0,30.0,541.0,8.0,1300.0,1327.0,2179.0,3446.0,298.0,676.0,2508.0,1516.0,356.0,1248.0,2866.0,587.0,228.0,83.83,74.21,84.89,86.0,79.0,70.0,5053.65,3681.0,3655.94,607.0,41.68,55.57,56.45,228.15,227.31,220.53
EDM,20252026,EDM,EDM,Team Level,all,81,0.51,0.5,0.51,294629.0,2629.63,270.92,186.43,612.72,87.21,1377.97,1012.75,259.39,272.1,260.54,2406.0,1142.0,1183.0,4731.0,276.0,281.0,31.0,495.0,4.0,1190.0,1302.0,2130.0,3272.0,263.0,592.0,2266.0,1524.0,339.0,1274.0,2515.0,735.0,298.0,78.5,90.29,102.13,101.0,87.0,88.0,4760.08,3548.0,3563.28,580.0,41.67,58.73,58.95,253.64,254.87,248.91,2495.57,255.9,174.37,587.37,84.03,1343.01,964.32,242.0,256.48,242.66,2178.0,1231.0,1289.0,4698.0,264.0,270.0,45.0,431.0,4.0,1207.0,1233.0,1914.0,3145.0,268.0,597.0,2052.0,1517.0,411.0,1306.0,2486.0,642.0,281.0,77.41,79.08,99.41,101.0,86.0,77.0,4701.2,3409.0,3416.75,573.0,38.93,58.91,58.91,235.92,236.91,229.58
VAN,20252026,VAN,VAN,Team Level,all,81,0.45,0.48,0.47,295931.0,2430.31,233.04,172.06,586.49,82.59,1312.97,939.86,219.8,230.85,217.74,2117.0,1210.0,1174.0,4501.0,209.0,304.0,30.0,443.0,0.0,1186.0,1185.0,1908.0,3118.0,267.0,573.0,2197.0,1725.0,362.0,1256.0,2506.0,552.0,269.0,73.76,70.14,89.14,72.0,69.0,68.0,4419.81,3327.0,3282.07,575.0,38.7,62.09,62.09,209.64,207.96,201.18,2713.62,282.1,190.27,640.74,90.43,1439.75,1034.71,268.71,285.55,272.07,2411.0,1267.0,1215.0,4893.0,308.0,292.0,36.0,484.0,1.0,1300.0,1293.0,2103.0,3370.0,273.0,590.0,2246.0,1547.0,332.0,1192.0,2623.0,752.0,303.0,81.52,95.02,105.56,113.0,102.0,93.0,4994.32,3678.0,3742.69,513.0,42.28,55.77,55.77,268.6,271.97,264.17
