faceoffWinPct,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,losses,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,seasonId,shotsAgainstPerGame,shotsForPerGame,teamFullName,teamId,teamShutouts,ties,wins,winsInRegulation,winsInShootout
0.48235,82,242,2.95121,337,4.10975,18,6,0.841698,0.795367,0.7439,122,0.21374,0.244274,55,20212022,30.67073,37.34146,Florida Panthers,13,5,,58,42,3
0.472749,82,232,2.82926,308,3.75609,19,7,0.822033,0.796611,0.7256,119,0.222222,0.240143,52,20212022,32.01219,35.04878,Colorado Avalanche,21,7,,56,46,4
0.539048,82,200,2.43902,277,3.37804,20,8,0.894927,0.880435,0.70731,116,0.206896,0.219827,53,20212022,28.17073,34.12195,Carolina Hurricanes,12,6,,54,47,1
0.550543,82,252,3.07317,312,3.80487,21,7,0.876068,0.820513,0.70121,115,0.255411,0.272727,51,20212022,30.62195,34.57317,Toronto Maple Leafs,10,7,,54,45,3
0.476427,82,249,3.03658,305,3.71951,22,7,0.768939,0.761364,0.68902,113,0.186046,0.205426,48,20212022,31.42682,32.51219,Minnesota Wild,30,3,,53,37,5
0.51086,82,206,2.51219,291,3.54878,21,11,0.86,0.832,0.67682,111,0.216101,0.228813,48,20212022,28.95121,35.46341,Calgary Flames,20,11,,50,44,2
0.480643,82,204,2.4878,250,3.04878,24,6,0.858407,0.823009,0.67073,110,0.243119,0.252293,48,20212022,30.82926,29.17073,New York Rangers,3,9,,52,44,4
0.501177,82,228,2.78048,285,3.4756,23,8,0.833333,0.805556,0.67073,110,0.220077,0.239382,49,20212022,29.76829,30.91463,Tampa Bay Lightning,14,3,,51,39,2
0.502435,82,239,2.91463,309,3.76829,22,11,0.881818,0.84091,0.66463,109,0.248962,0.269709,47,20212022,31.59756,30.39024,St. Louis Blues,19,4,,49,43,2
0.541803,82,218,2.65853,253,3.08536,26,5,0.832061,0.812978,0.65243,107,0.18644,0.211864,49,20212022,28.70731,36.12195,Boston Bruins,6,4,,51,40,2
0.512744,82,251,3.06097,285,3.4756,27,6,0.837301,0.793651,0.63414,104,0.234042,0.259574,44,20212022,32.28048,34.02439,Edmonton Oilers,22,4,,49,38,5
0.511366,82,222,2.70731,269,3.28048,25,11,0.85849,0.84434,0.62804,103,0.169354,0.201612,43,20212022,31.41463,34.7439,Pittsburgh Penguins,5,7,,46,37,3
0.470999,82,242,2.95121,270,3.29268,26,12,0.84,0.804445,0.60975,100,0.152343,0.1875,39,20212022,29.0,31.42682,Washington Capitals,15,8,,44,35,5
0.521924,82,232,2.82926,235,2.86585,27,11,0.814977,0.76652,0.60365,99,0.125,0.16129,40,20212022,28.54878,34.93902,Los Angeles Kings,26,5,,44,35,4
0.548212,82,244,2.9756,233,2.84146,30,6,0.821917,0.789955,0.59756,98,0.203319,0.224066,41,20212022,31.03658,30.31707,Dallas Stars,25,2,,46,31,5
0.512425,82,250,3.04878,262,3.19512,30,7,0.799295,0.792254,0.59146,97,0.224806,0.244186,41,20212022,32.26829,29.7439,Nashville Predators,18,4,,45,35,4
0.493277,82,244,2.9756,262,3.19512,31,8,0.822115,0.774039,0.57317,94,0.150943,0.183962,39,20212022,29.9756,34.51219,Vegas Golden Knights,54,3,,43,34,4
0.519567,82,231,2.81707,246,3.0,30,12,0.770562,0.748918,0.56097,92,0.210526,0.234817,37,20212022,31.85365,31.9756,Vancouver Canucks,23,1,,40,32,3
0.507402,82,253,3.08536,250,3.04878,32,11,0.788793,0.75,0.54268,89,0.178137,0.210526,37,20212022,33.18292,32.25609,Winnipeg Jets,52,5,,39,32,2
0.513127,82,231,2.81707,229,2.79268,35,10,0.865116,0.841861,0.51219,84,0.1875,0.221153,35,20212022,32.54878,28.86585,New York Islanders,2,9,,37,34,2
0.484744,82,297,3.62195,258,3.14634,38,7,0.815126,0.785715,0.4939,81,0.15909,0.186363,33,20212022,35.20731,30.03658,Columbus Blue Jackets,29,2,,37,26,4
0.496061,82,261,3.18292,211,2.57317,37,13,0.869955,0.852018,0.46951,77,0.138888,0.189814,29,20212022,31.9756,29.26829,San Jose Sharks,28,3,,32,22,3
0.482039,82,266,3.2439,228,2.78048,37,14,0.834821,0.808036,0.46341,76,0.200913,0.219178,27,20212022,33.2317,29.18292,Anaheim Ducks,24,4,,31,22,4
0.459936,82,287,3.5,229,2.79268,39,11,0.792452,0.764151,0.45731,75,0.184684,0.211711,29,20212022,32.95121,29.89024,Buffalo Sabres,7,1,,32,25,3
0.493629,82,310,3.78048,227,2.76829,40,10,0.755555,0.737778,0.45121,74,0.118942,0.162995,29,20212022,33.67073,29.43902,Detroit Red Wings,17,4,,32,21,3
0.479238,82,264,3.21951,224,2.7317,42,7,0.839357,0.803213,0.44512,73,0.176954,0.193415,30,20212022,33.41463,30.03658,Ottawa Senators,9,2,,33,26,3
0.496394,82,289,3.52439,213,2.59756,42,12,0.7713,0.762332,0.41463,68,0.167346,0.191836,22,20212022,32.96341,28.80487,Chicago Blackhawks,16,4,,28,16,6
0.468472,82,302,3.68292,245,2.9878,46,9,0.830188,0.801887,0.38414,63,0.093333,0.155555,24,20212022,30.9756,31.2439,New Jersey Devils,1,2,,27,19,3
0.521405,82,294,3.58536,210,2.56097,46,11,0.782978,0.757447,0.37195,61,0.079497,0.125523,24,20212022,33.96341,30.96341,Philadelphia Flyers,4,1,,25,20,1
0.476654,82,284,3.46341,213,2.59756,49,6,0.784753,0.748879,0.36585,60,0.113636,0.145454,24,20212022,28.86585,29.02439,Seattle Kraken,55,3,,27,23,3
0.472608,82,309,3.76829,206,2.51219,50,7,0.761718,0.75,0.34756,57,0.118811,0.138613,24,20212022,35.4878,25.86585,Arizona Coyotes,53,1,,25,18,1
0.491841,82,317,3.86585,218,2.65853,49,11,0.777372,0.755475,0.33536,55,0.088709,0.137096,19,20212022,34.42682,29.78048,Montréal Canadiens,8,3,,22,16,3
