gameId,season,gameType,gameDate,startTimeUTC,venue,venueCity,homeTeamId,homeTeam,homeAbbrev,awayTeamId,awayTeam,awayAbbrev,homeGoals,awayGoals,homeShotsOnGoal,awayShotsOnGoal,wentToOT,wentToSO,finalPeriodNumber,finalPeriodType,gameState,game_year
2020030111,20202021,3,2021-05-16,2021-05-16T16:00:00Z,PPG Paints Arena,Pittsburgh,5,Pittsburgh,PIT,2,New York,NYI,3,4,42,41,True,False,4,OT,OFF,2020
2020030112,20202021,3,2021-05-18,2021-05-18T23:30:00Z,PPG Paints Arena,Pittsburgh,5,Pittsburgh,PIT,2,New York,NYI,2,1,45,38,False,False,3,REG,OFF,2020
2020030113,20202021,3,2021-05-20,2021-05-20T23:00:00Z,Nassau Veterans Memorial Coliseum,Uniondale,2,New York,NYI,5,Pittsburgh,PIT,4,5,30,27,False,False,3,REG,OFF,2020
2020030114,20202021,3,2021-05-22,2021-05-22T19:00:00Z,Nassau Veterans Memorial Coliseum,Uniondale,2,New York,NYI,5,Pittsburgh,PIT,4,1,26,30,False,False,3,REG,OFF,2020
2020030115,20202021,3,2021-05-24,2021-05-24T23:00:00Z,PPG Paints Arena,Pittsburgh,5,Pittsburgh,PIT,2,New York,NYI,2,3,50,28,True,False,5,OT,OFF,2020
2020030116,20202021,3,2021-05-26,2021-05-26T22:30:00Z,Nassau Veterans Memorial Coliseum,Uniondale,2,New York,NYI,5,Pittsburgh,PIT,5,3,24,37,False,False,3,REG,OFF,2020
2020030121,20202021,3,2021-05-15,2021-05-15T23:15:00Z,Capital One Arena,Washington,15,Washington,WSH,6,Boston,BOS,3,2,32,26,True,False,4,OT,OFF,2020
2020030122,20202021,3,2021-05-17,2021-05-17T23:30:00Z,Capital One Arena,Washington,15,Washington,WSH,6,Boston,BOS,3,4,39,48,True,False,4,OT,OFF,2020
2020030123,20202021,3,2021-05-19,2021-05-19T22:30:00Z,TD Garden,Boston,6,Boston,BOS,15,Washington,WSH,3,2,43,37,True,False,5,OT,OFF,2020
2020030124,20202021,3,2021-05-21,2021-05-21T22:30:00Z,TD Garden,Boston,6,Boston,BOS,15,Washington,WSH,4,1,37,20,False,False,3,REG,OFF,2020
2020030125,20202021,3,2021-05-23,2021-05-23T23:00:00Z,Capital One Arena,Washington,15,Washington,WSH,6,Boston,BOS,1,3,41,19,False,False,3,REG,OFF,2020
2020030131,20202021,3,2021-05-17,2021-05-18T00:00:00Z,PNC Arena,Raleigh,12,Carolina,CAR,18,Nashville,NSH,5,2,38,24,False,False,3,REG,OFF,2020
2020030132,20202021,3,2021-05-19,2021-05-20T00:00:00Z,PNC Arena,Raleigh,12,Carolina,CAR,18,Nashville,NSH,3,0,31,32,False,False,3,REG,OFF,2020
2020030133,20202021,3,2021-05-21,2021-05-21T23:00:00Z,Bridgestone Arena,Nashville,18,Nashville,NSH,12,Carolina,CAR,5,4,54,56,True,False,5,OT,OFF,2020
2020030134,20202021,3,2021-05-23,2021-05-23T18:30:00Z,Bridgestone Arena,Nashville,18,Nashville,NSH,12,Carolina,CAR,4,3,43,61,True,False,5,OT,OFF,2020
2020030135,20202021,3,2021-05-25,2021-05-26T00:00:00Z,PNC Arena,Raleigh,12,Carolina,CAR,18,Nashville,NSH,3,2,37,25,True,False,4,OT,OFF,2020
2020030136,20202021,3,2021-05-27,2021-05-28T01:30:00Z,Bridgestone Arena,Nashville,18,Nashville,NSH,12,Carolina,CAR,3,4,27,31,True,False,4,OT,OFF,2020
2020030141,20202021,3,2021-05-16,2021-05-16T23:30:00Z,BB&T Center,Sunrise,13,Florida,FLA,14,Tampa Bay,TBL,4,5,39,40,False,False,3,REG,OFF,2020
2020030142,20202021,3,2021-05-18,2021-05-19T00:00:00Z,BB&T Center,Sunrise,13,Florida,FLA,14,Tampa Bay,TBL,1,3,33,29,False,False,3,REG,OFF,2020
2020030143,20202021,3,2021-05-20,2021-05-20T22:30:00Z,Amalie Arena,Tampa,14,Tampa Bay,TBL,13,Florida,FLA,5,6,31,47,True,False,4,OT,OFF,2020
2020030144,20202021,3,2021-05-22,2021-05-22T16:30:00Z,Amalie Arena,Tampa,14,Tampa Bay,TBL,13,Florida,FLA,6,2,26,41,False,False,3,REG,OFF,2020
2020030145,20202021,3,2021-05-24,2021-05-25T00:00:00Z,BB&T Center,Sunrise,13,Florida,FLA,14,Tampa Bay,TBL,4,1,38,37,False,False,3,REG,OFF,2020
2020030146,20202021,3,2021-05-26,2021-05-27T00:00:00Z,Amalie Arena,Tampa,14,Tampa Bay,TBL,13,Florida,FLA,4,0,24,29,False,False,3,REG,OFF,2020
2020030151,20202021,3,2021-05-17,2021-05-18T02:00:00Z,Ball Arena,Denver,21,Colorado,COL,19,St. Louis,STL,4,1,50,23,False,False,3,REG,OFF,2020
