faceoffWinPct,goals_against,goalsAgainstPerGame,goals_for,goalsForPerGame,losses,ot_losses,penaltyKillNetPct,pk_pct,pointPct,points,powerPlayNetPct,pp_pct,regulationAndOtWins,seasonId,shots_against_per_game,shots_per_game,teamFullName,teamId,teamShutouts,ties,wins,winsInRegulation,winsInShootout,team,season,win_pct,goal_diff_per_game,name,team.1,position,situation,games_played_y,xGoalsPercentage,corsi_pct,fenwickPercentage,iceTime,xOnGoalFor,xgf,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shots_for,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,gf,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,hdcf,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xga,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shots_against,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,ga,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,hdca,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,goalie_gsax,goalie_sv_pct,games_played,games,xgf_per60,xga_per60,hdcf_per60,hdca_per60,xgf_pct,goals_for_per_game,goals_against_per_game
0.495164,122,2.17857,190,3.39285,14,2,0.895833,0.868056,0.73214,82,0.166666,0.17816,39,20202021,27.285714285714285,32.660714285714285,Vegas Golden Knights,54,7,,40,30,1,VGK,20202021,0.7142857142857143,1.2142857142857142,VGK,VGK,Team Level,all,56,0.55,0.54,0.55,203768.0,1840.71,178.58,129.21,427.37,59.53,1025.73,735.65,171.92,180.56,173.87,1829.0,728.0,916.0,3473.0,190.0,152.0,30.0,450.0,43.0,799.0,923.0,1639.0,2367.0,166.0,378.0,1537.0,1218.0,401.0,333.0,1856.0,508.0,193.0,53.63,62.13,62.82,70.0,68.0,52.0,3543.7,2557.0,2601.29,164.0,28.68,33.72,33.72,173.47,175.31,171.54,1541.12,144.31,107.97,354.6,49.45,838.65,622.02,138.74,143.87,138.26,1528.0,589.0,840.0,2957.0,122.0,146.0,28.0,247.0,38.0,685.0,879.0,1406.0,1995.0,197.0,427.0,1565.0,1448.0,404.0,318.0,1565.0,397.0,155.0,45.17,49.93,49.2,39.0,41.0,42.0,2918.76,2117.0,2093.04,187.0,23.66,31.66,31.66,136.31,135.61,132.79,9.970483378502696,0.9225045689745244,56,56,0.05258333006163873,0.04249244238545797,0.056829335322523655,0.045640139766793604,0.553067608163771,3.392857142857143,2.1785714285714284
0.516228,132,2.35714,197,3.51785,13,4,0.836158,0.830509,0.73214,82,0.21256,0.227053,39,20202021,25.410714285714285,34.589285714285715,Colorado Avalanche,21,8,,39,35,0,COL,20202021,0.6964285714285714,1.1607142857142858,COL,COL,Team Level,all,56,0.6,0.58,0.58,202719.0,1887.59,179.85,134.71,436.49,62.19,1079.54,764.23,171.79,182.25,174.13,1937.0,720.0,956.0,3613.0,197.0,161.0,35.0,446.0,52.0,819.0,982.0,1740.0,2460.0,201.0,435.0,1667.0,926.0,356.0,349.0,2017.0,465.0,175.0,59.91,55.32,64.63,72.0,62.0,63.0,3691.46,2657.0,2706.84,168.0,29.81,37.99,38.24,171.43,173.82,169.64,1397.12,120.2,98.26,326.48,45.4,800.2,566.52,114.84,119.25,113.93,1423.0,535.0,677.0,2635.0,132.0,111.0,15.0,352.0,38.0,559.0,766.0,1291.0,1826.0,229.0,503.0,1567.0,1151.0,357.0,345.0,1495.0,347.0,116.0,39.46,41.47,39.26,54.0,45.0,33.0,2594.48,1958.0,1933.14,205.0,21.82,21.47,21.48,120.46,119.52,116.86,-3.373564860852899,0.9087887969657124,56,56,0.053231320201855774,0.03557633966229116,0.05179583561481657,0.03433323960753555,0.5994000999833361,3.517857142857143,2.357142857142857
0.538686,134,2.39285,175,3.125,12,8,0.892045,0.852273,0.71428,80,0.219512,0.256097,32,20202021,28.232142857142858,32.035714285714285,Carolina Hurricanes,12,6,,36,27,4,CAR,20202021,0.6428571428571429,0.7321428571428571,CAR,CAR,Team Level,all,56,0.56,0.54,0.54,205067.0,1803.9,180.75,120.25,414.1,59.64,989.59,738.66,173.22,182.1,174.6,1794.0,709.0,812.0,3315.0,175.0,152.0,18.0,390.0,64.0,840.0,882.0,1619.0,2328.0,193.0,402.0,1845.0,1297.0,315.0,556.0,1822.0,500.0,181.0,52.43,61.14,67.19,47.0,69.0,59.0,3368.31,2503.0,2535.48,275.0,26.25,33.81,33.81,173.2,174.87,171.44,1577.53,143.15,105.21,356.93,51.31,872.23,644.24,138.24,143.0,138.05,1581.0,593.0,658.0,2832.0,134.0,125.0,25.0,375.0,54.0,664.0,822.0,1447.0,2040.0,179.0,378.0,1580.0,1450.0,281.0,603.0,1613.0,436.0,125.0,48.11,53.69,41.35,34.0,61.0,39.0,2799.45,2174.0,2157.99,333.0,23.19,25.64,25.64,140.64,140.24,137.58,3.7585142284153368,0.9227915924581608,56,56,0.05288515460800616,0.04188387210033794,0.05295830143319013,0.03657341259198213,0.5580426057425132,3.125,2.392857142857143
0.501801,151,2.69642,188,3.35714,14,5,0.821428,0.79762,0.70535,79,0.18421,0.205263,36,20202021,29.964285714285715,34.75,Florida Panthers,13,3,,37,26,1,FLA,20202021,0.6607142857142857,0.6607142857142857,FLA,FLA,Team Level,all,56,0.55,0.53,0.53,204571.0,1836.98,176.92,125.98,409.35,60.24,1021.89,756.68,170.11,178.12,171.29,1946.0,606.0,697.0,3249.0,188.0,145.0,37.0,430.0,77.0,766.0,947.0,1758.0,2364.0,211.0,478.0,1670.0,1359.0,397.0,487.0,1922.0,461.0,169.0,55.23,55.59,66.1,59.0,55.0,74.0,3286.93,2552.0,2575.92,253.0,27.86,35.74,36.76,167.95,169.18,165.65,1593.54,145.04,108.81,365.87,53.27,888.27,658.74,139.99,144.42,139.39,1678.0,542.0,616.0,2836.0,151.0,139.0,26.0,384.0,67.0,683.0,796.0,1527.0,2069.0,233.0,518.0,1658.0,1368.0,320.0,466.0,1681.0,407.0,132.0,47.64,49.93,47.47,46.0,56.0,49.0,2807.66,2220.0,2202.99,249.0,24.11,29.14,29.14,140.02,139.3,137.17,-1.7696330835360286,0.9182229579484644,56,56,0.05189005284228947,0.04253975392406548,0.04956714294792517,0.038715164906071735,0.5495092558081749,3.357142857142857,2.6964285714285716
0.492948,155,2.76785,193,3.44642,16,3,0.812903,0.774194,0.6875,77,0.210526,0.236842,34,20202021,29.964285714285715,30.089285714285715,Pittsburgh Penguins,5,5,,37,29,3,PIT,20202021,0.6607142857142857,0.6785714285714286,PIT,PIT,Team Level,all,56,0.52,0.5,0.5,203985.0,1610.78,157.7,111.3,364.98,51.58,896.71,655.74,153.43,159.24,154.94,1685.0,553.0,670.0,2908.0,193.0,113.0,26.0,399.0,50.0,711.0,773.0,1492.0,2045.0,171.0,365.0,1568.0,1333.0,428.0,446.0,1680.0,403.0,155.0,47.68,49.66,60.35,59.0,66.0,68.0,2949.98,2238.0,2267.34,185.0,24.39,25.03,25.03,157.06,158.6,156.07,1609.96,146.22,112.96,367.81,51.98,890.1,651.92,141.21,145.84,140.81,1678.0,543.0,664.0,2885.0,155.0,123.0,25.0,385.0,52.0,651.0,855.0,1523.0,2066.0,168.0,362.0,1623.0,1662.0,340.0,384.0,1659.0,406.0,156.0,45.0,50.14,51.09,47.0,51.0,57.0,2858.9,2221.0,2204.2,194.0,24.79,27.27,27.9,143.12,142.52,140.01,-3.4235094519310976,0.9140391867267452,56,56,0.046385763659092576,0.04300904478270461,0.045591587616736526,0.045885726891683215,0.5188865490918663,3.4464285714285716,2.767857142857143
0.492022,161,2.875,188,3.35714,15,5,0.851851,0.839507,0.6875,77,0.196078,0.248366,33,20202021,28.785714285714285,29.410714285714285,Washington Capitals,15,4,,36,29,3,WSH,20202021,0.6428571428571429,0.48214285714285715,WSH,WSH,Team Level,all,56,0.5,0.5,0.5,204042.0,1636.52,147.29,113.48,376.1,53.61,929.87,680.66,142.79,148.26,143.77,1647.0,654.0,704.0,3005.0,188.0,112.0,26.0,362.0,49.0,721.0,869.0,1459.0,2113.0,194.0,442.0,1542.0,1318.0,389.0,419.0,1754.0,402.0,145.0,49.56,48.58,49.14,75.0,64.0,49.0,3046.11,2301.0,2328.92,251.0,24.71,25.05,25.05,146.95,148.06,145.61,1631.5,147.26,112.22,376.53,53.39,916.59,669.02,141.47,147.34,141.57,1612.0,663.0,683.0,2958.0,161.0,115.0,22.0,326.0,56.0,715.0,902.0,1451.0,2114.0,177.0,415.0,1594.0,1118.0,359.0,367.0,1749.0,377.0,149.0,48.83,44.96,53.47,56.0,48.0,57.0,2937.49,2275.0,2265.96,204.0,24.65,24.75,24.75,147.16,147.31,143.13,-5.0945758604692495,0.906352684016294,56,56,0.04331167112653277,0.043302849413356076,0.04263828035404475,0.04381450877760461,0.5000509251400442,3.357142857142857,2.875
0.510902,148,2.64285,186,3.32142,14,7,0.805555,0.784723,0.6875,77,0.154838,0.2,34,20202021,27.839285714285715,31.267857142857142,Toronto Maple Leafs,10,3,,35,29,1,TOR,20202021,0.625,0.6785714285714286,TOR,TOR,Team Level,all,56,0.56,0.52,0.52,203170.0,1758.21,194.61,131.59,371.39,55.63,970.37,686.4,186.17,196.74,188.26,1751.0,659.0,713.0,3123.0,186.0,129.0,30.0,407.0,53.0,758.0,877.0,1565.0,2224.0,157.0,340.0,1526.0,1003.0,388.0,748.0,1585.0,635.0,190.0,51.18,76.91,66.52,51.0,71.0,64.0,3181.25,2410.0,2450.82,431.0,29.31,32.32,32.59,191.32,193.29,188.71,1561.93,151.97,111.58,344.61,50.7,890.02,640.12,147.48,150.62,146.19,1559.0,630.0,708.0,2897.0,148.0,81.0,20.0,368.0,49.0,707.0,836.0,1411.0,2041.0,167.0,368.0,1455.0,1565.0,357.0,660.0,1550.0,509.0,130.0,46.61,60.61,44.76,37.0,65.0,46.0,2843.91,2189.0,2158.6,455.0,24.46,18.61,18.61,157.81,156.59,153.57,1.391101194112519,0.9095923933366292,56,56,0.05747206772653443,0.044879657429738644,0.05611064625682926,0.03839149480730423,0.5615153788447111,3.3214285714285716,2.642857142857143
0.501119,145,2.58928,180,3.21428,17,3,0.857923,0.841531,0.66964,75,0.205555,0.222222,35,20202021,28.214285714285715,30.142857142857142,Tampa Bay Lightning,14,6,,36,29,1,TBL,20202021,0.6428571428571429,0.625,T.B,T.B,Team Level,all,56,0.53,0.52,0.52,203358.0,1649.18,166.29,116.24,368.15,53.35,911.37,666.65,162.0,168.27,163.85,1688.0,595.0,668.0,2951.0,180.0,110.0,29.0,386.0,62.0,697.0,848.0,1508.0,2103.0,220.0,515.0,1566.0,1347.0,240.0,299.0,1670.0,445.0,168.0,48.42,54.86,63.02,49.0,54.0,77.0,2993.35,2283.0,2312.02,165.0,25.61,22.04,22.09,169.76,171.28,168.78,1527.27,149.27,107.51,334.73,48.88,842.5,612.18,144.85,149.18,144.78,1580.0,516.0,631.0,2727.0,145.0,97.0,18.0,303.0,86.0,621.0,845.0,1435.0,1951.0,214.0,517.0,1559.0,1227.0,262.0,326.0,1502.0,472.0,122.0,43.98,58.54,46.75,39.0,68.0,38.0,2707.86,2096.0,2084.58,163.0,23.81,23.15,23.15,149.86,149.86,147.12,8.68562209155066,0.9126780941929454,56,56,0.04906322839524386,0.04404154250140147,0.0495677573540259,0.03599563331661405,0.5269679300291545,3.2142857142857144,2.5892857142857144
0.465194,159,2.83928,180,3.21428,16,5,0.819875,0.807454,0.66964,75,0.157575,0.175757,34,20202021,30.446428571428573,28.339285714285715,Minnesota Wild,30,4,,35,27,1,MIN,20202021,0.625,0.375,MIN,MIN,Team Level,all,56,0.52,0.47,0.48,204107.0,1596.16,154.6,112.56,358.72,50.27,885.7,638.14,148.01,155.63,148.98,1587.0,613.0,636.0,2836.0,180.0,145.0,29.0,376.0,46.0,619.0,834.0,1407.0,2020.0,194.0,440.0,1518.0,969.0,328.0,398.0,1617.0,420.0,163.0,46.32,50.88,57.4,59.0,66.0,55.0,2868.08,2200.0,2220.84,190.0,24.88,33.47,33.47,146.01,146.86,143.51,1706.35,144.41,114.47,398.38,54.85,971.06,701.85,140.23,143.92,139.8,1705.0,680.0,825.0,3210.0,159.0,121.0,22.0,446.0,55.0,717.0,887.0,1546.0,2226.0,194.0,442.0,1744.0,994.0,323.0,400.0,1886.0,372.0,127.0,53.2,45.04,46.17,65.0,54.0,40.0,3195.2,2385.0,2375.22,199.0,25.01,24.67,24.92,144.49,144.18,141.87,-5.17256516716365,0.9120722406959004,56,56,0.04544675096885457,0.04245126330797082,0.047916044035726364,0.037333359463418696,0.5170395638941842,3.2142857142857144,2.8392857142857144
0.55254,134,2.39285,164,2.92857,16,7,0.910112,0.859551,0.65178,73,0.18125,0.21875,29,20202021,27.071428571428573,33.32142857142857,Boston Bruins,6,6,,33,25,4,BOS,20202021,0.5892857142857143,0.5357142857142857,BOS,BOS,Team Level,all,56,0.54,0.54,0.54,204626.0,1822.58,153.9,120.74,416.57,59.1,1028.83,763.87,148.26,155.26,149.54,1866.0,677.0,681.0,3224.0,164.0,101.0,25.0,467.0,86.0,794.0,931.0,1702.0,2379.0,215.0,479.0,1752.0,1390.0,399.0,395.0,1971.0,440.0,132.0,53.68,52.75,47.47,53.0,56.0,55.0,3262.43,2543.0,2568.12,170.0,26.43,23.05,23.38,156.95,158.13,154.22,1530.33,132.77,105.0,347.74,49.73,860.76,631.02,129.47,132.4,129.13,1516.0,611.0,658.0,2785.0,134.0,83.0,19.0,365.0,66.0,625.0,854.0,1382.0,1993.0,189.0,437.0,1418.0,1428.0,481.0,545.0,1601.0,418.0,108.0,44.18,51.02,37.57,45.0,49.0,40.0,2764.78,2127.0,2114.98,254.0,22.98,19.14,19.14,136.61,136.31,134.43,-0.1083258073243318,0.9151862542667076,56,56,0.04512623029331561,0.038930536686442585,0.038704758926040674,0.03166753003039692,0.5368542226253183,2.9285714285714284,2.392857142857143
