faceoffWinPct,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,losses,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,seasonId,shotsAgainstPerGame,shotsForPerGame,teamFullName,teamId,teamShutouts,ties,wins,winsInRegulation,winsInShootout
0.495164,56,122,2.17857,190,3.39285,14,2,0.895833,0.868056,0.73214,82,0.166666,0.17816,39,20202021,27.26785,32.66071,Vegas Golden Knights,54,7,,40,30,1
0.516228,56,132,2.35714,197,3.51785,13,4,0.836158,0.830509,0.73214,82,0.21256,0.227053,39,20202021,25.41071,34.58928,Colorado Avalanche,21,8,,39,35,0
0.538686,56,134,2.39285,175,3.125,12,8,0.892045,0.852273,0.71428,80,0.219512,0.256097,32,20202021,28.23214,32.03571,Carolina Hurricanes,12,6,,36,27,4
0.501801,56,151,2.69642,188,3.35714,14,5,0.821428,0.79762,0.70535,79,0.18421,0.205263,36,20202021,30.03571,34.89285,Florida Panthers,13,3,,37,26,1
0.492948,56,155,2.76785,193,3.44642,16,3,0.812903,0.774194,0.6875,77,0.210526,0.236842,34,20202021,29.98214,30.07142,Pittsburgh Penguins,5,5,,37,29,3
0.492022,56,161,2.875,188,3.35714,15,5,0.851851,0.839507,0.6875,77,0.196078,0.248366,33,20202021,28.78571,29.41071,Washington Capitals,15,4,,36,29,3
0.510902,56,148,2.64285,186,3.32142,14,7,0.805555,0.784723,0.6875,77,0.154838,0.2,34,20202021,27.82142,31.26785,Toronto Maple Leafs,10,3,,35,29,1
0.501119,56,145,2.58928,180,3.21428,17,3,0.857923,0.841531,0.66964,75,0.205555,0.222222,35,20202021,28.26785,30.21428,Tampa Bay Lightning,14,6,,36,29,1
0.465194,56,159,2.83928,180,3.21428,16,5,0.819875,0.807454,0.66964,75,0.157575,0.175757,34,20202021,30.44642,28.30357,Minnesota Wild,30,4,,35,27,1
0.55254,56,134,2.39285,164,2.92857,16,7,0.910112,0.859551,0.65178,73,0.18125,0.21875,29,20202021,27.07142,33.32142,Boston Bruins,6,6,,33,25,4
0.504198,56,154,2.75,183,3.26785,19,2,0.837662,0.824676,0.64285,72,0.252873,0.275862,35,20202021,30.66071,29.89285,Edmonton Oilers,22,3,,35,31,0
0.513717,56,125,2.23214,152,2.71428,17,7,0.866666,0.837038,0.63392,71,0.1875,0.1875,28,20202021,28.39285,28.98214,New York Islanders,2,10,,32,24,4
0.516989,56,154,2.75,151,2.69642,23,2,0.790697,0.755814,0.57142,64,0.163522,0.1761,26,20202021,31.30357,29.98214,Nashville Predators,18,5,,31,21,5
0.504565,56,152,2.71428,170,3.03571,23,3,0.825503,0.80537,0.5625,63,0.21118,0.229813,30,20202021,30.58928,29.66071,Winnipeg Jets,52,5,,30,24,0
0.533227,56,167,2.98214,167,2.98214,20,9,0.812865,0.777778,0.5625,63,0.225806,0.232258,25,20202021,29.82142,28.96428,St. Louis Blues,19,1,,27,19,2
0.444811,56,155,2.76785,176,3.14285,23,6,0.869822,0.822486,0.53571,60,0.184357,0.206703,26,20202021,29.71428,28.69642,New York Rangers,3,5,,27,24,1
0.518334,56,148,2.64285,156,2.78571,19,14,0.810457,0.79085,0.53571,60,0.210191,0.235668,21,20202021,27.10714,30.33928,Dallas Stars,25,4,,23,17,2
0.483943,56,165,2.94642,158,2.82142,21,11,0.837209,0.784884,0.52678,59,0.178807,0.192052,23,20202021,28.19642,31.17857,Montréal Canadiens,8,1,,24,20,1
0.540254,56,197,3.51785,160,2.85714,23,8,0.736526,0.730539,0.51785,58,0.155688,0.191616,22,20202021,29.21428,30.21428,Philadelphia Flyers,4,3,,25,17,3
0.499513,56,160,2.85714,155,2.76785,27,3,0.813953,0.802326,0.49107,55,0.142857,0.182857,25,20202021,28.16071,30.16071,Calgary Flames,20,4,,26,22,1
0.463446,56,184,3.28571,159,2.83928,25,7,0.788079,0.768212,0.49107,55,0.177142,0.217142,22,20202021,33.71428,29.19642,Chicago Blackhawks,16,4,,24,15,2
0.490669,56,174,3.10714,150,2.67857,26,6,0.820359,0.808384,0.48214,54,0.185393,0.207865,21,20202021,30.46428,27.46428,Arizona Coyotes,53,4,,24,19,3
0.47387,56,189,3.375,155,2.76785,28,5,0.830409,0.789474,0.45535,51,0.126436,0.155172,21,20202021,32.125,29.69642,Ottawa Senators,9,2,,23,18,2
0.523402,56,187,3.33928,148,2.64285,29,4,0.830601,0.797815,0.44642,50,0.148387,0.174193,20,20202021,33.39285,29.08928,Vancouver Canucks,23,1,,23,17,3
0.506205,56,169,3.01785,142,2.53571,28,7,0.855345,0.836478,0.4375,49,0.171597,0.189349,20,20202021,31.17857,28.33928,Los Angeles Kings,26,2,,21,19,1
0.484157,56,196,3.5,146,2.60714,28,7,0.831521,0.804348,0.4375,49,0.115384,0.141025,16,20202021,31.98214,30.03571,San Jose Sharks,28,2,,21,15,5
0.500822,56,168,3.0,125,2.23214,27,10,0.787096,0.787097,0.42857,48,0.087248,0.114093,17,20202021,31.89285,27.28571,Detroit Red Wings,17,2,,19,16,2
0.453119,56,184,3.28571,134,2.39285,26,12,0.834586,0.789474,0.42857,48,0.136752,0.153846,15,20202021,32.41071,29.01785,Columbus Blue Jackets,29,2,,18,12,3
0.465723,56,189,3.375,145,2.58928,30,7,0.729729,0.70946,0.40178,45,0.109677,0.141935,19,20202021,31.01785,28.78571,New Jersey Devils,1,3,,19,15,0
0.510262,56,177,3.16071,124,2.21428,30,9,0.810975,0.798781,0.38392,43,0.04878,0.08943,15,20202021,30.57142,26.78571,Anaheim Ducks,24,4,,17,11,2
0.495905,56,196,3.5,134,2.39285,34,7,0.812949,0.776979,0.33035,37,0.174825,0.20979,11,20202021,33.73214,28.42857,Buffalo Sabres,7,0,,15,11,4
