team,conference,division,points,wins,losses,ot_losses,goal_diff,season,games_played,goals_for,goals_against,win_pct,point_pct
COL,Western,Central,119,54,16,11,97,20252026,81,300,203,0.666667,0.734568
CAR,Eastern,Metropolitan,113,53,22,7,56,20252026,82,296,240,0.646341,0.689024
DAL,Western,Central,110,49,20,12,52,20252026,81,275,223,0.604938,0.679012
BUF,Eastern,Atlantic,108,50,23,8,48,20252026,81,285,237,0.617284,0.666667
TBL,Eastern,Atlantic,106,50,25,6,61,20252026,81,288,227,0.617284,0.654321
MTL,Eastern,Atlantic,106,48,24,10,27,20252026,82,283,256,0.585366,0.646341
MIN,Western,Central,104,46,24,12,32,20252026,82,272,240,0.560976,0.634146
BOS,Eastern,Atlantic,100,45,27,10,22,20252026,82,272,250,0.54878,0.609756
PIT,Eastern,Metropolitan,98,41,25,16,25,20252026,82,293,268,0.5,0.597561
PHI,Eastern,Metropolitan,98,43,27,12,7,20252026,82,250,243,0.52439,0.597561
OTT,Eastern,Atlantic,97,43,27,11,30,20252026,81,275,245,0.530864,0.598765
WSH,Eastern,Metropolitan,95,43,30,9,19,20252026,82,263,244,0.52439,0.579268
VGK,Western,Pacific,93,38,26,17,12,20252026,81,261,249,0.469136,0.574074
UTA,Western,Central,92,43,32,6,30,20252026,81,265,235,0.530864,0.567901
DET,Eastern,Atlantic,92,41,30,10,-10,20252026,81,240,250,0.506173,0.567901
CBJ,Eastern,Metropolitan,92,40,30,12,0,20252026,82,253,253,0.487805,0.560976
EDM,Western,Pacific,91,40,30,11,8,20252026,81,276,268,0.493827,0.561728
NYI,Eastern,Metropolitan,91,43,34,5,-8,20252026,82,233,241,0.52439,0.554878
ANA,Western,Pacific,90,42,33,6,-16,20252026,81,268,284,0.518519,0.555556
LAK,Western,Pacific,90,35,26,20,-20,20252026,81,224,244,0.432099,0.555556
NJD,Eastern,Metropolitan,87,42,37,3,-24,20252026,82,230,254,0.512195,0.530488
NSH,Western,Central,86,38,33,10,-21,20252026,81,243,264,0.469136,0.530864
SJS,Western,Pacific,84,38,34,8,-43,20252026,80,243,286,0.475,0.525
STL,Western,Central,84,36,33,12,-29,20252026,81,226,255,0.444444,0.518519
FLA,Eastern,Atlantic,82,39,38,4,-32,20252026,81,243,275,0.481481,0.506173
WPG,Western,Central,82,35,34,12,-24,20252026,81,230,254,0.432099,0.506173
SEA,Western,Pacific,79,34,35,11,-32,20252026,80,225,257,0.425,0.49375
TOR,Eastern,Atlantic,78,32,35,14,-44,20252026,81,252,296,0.395062,0.481481
CGY,Western,Pacific,75,33,39,9,-49,20252026,81,209,258,0.407407,0.462963
NYR,Eastern,Metropolitan,75,33,39,9,-14,20252026,81,234,248,0.407407,0.462963
CHI,Western,Central,70,28,39,14,-65,20252026,81,208,273,0.345679,0.432099
VAN,Western,Pacific,58,25,48,8,-95,20252026,81,215,310,0.308642,0.358025
