team,conference,division,points,wins,losses,ot_losses,goal_diff,season,games_played,goals_for,goals_against,win_pct,point_pct
COL,Western,Central,117,53,16,11,95,20252026,80,297,202,0.6625,0.73125
DAL,Western,Central,110,49,20,12,52,20252026,81,275,223,0.604938,0.679012
MIN,Western,Central,102,45,24,12,31,20252026,81,269,238,0.555556,0.62963
VGK,Western,Pacific,93,38,26,17,12,20252026,81,261,249,0.469136,0.574074
EDM,Western,Pacific,91,40,30,11,8,20252026,81,276,268,0.493827,0.561728
ANA,Western,Pacific,90,42,32,6,-15,20252026,80,266,281,0.525,0.5625
UTA,Western,Central,90,42,32,6,28,20252026,80,260,232,0.525,0.5625
LAK,Western,Pacific,89,35,26,19,-19,20252026,80,221,240,0.4375,0.55625
CAR,Eastern,Metropolitan,111,52,22,7,55,20252026,81,294,239,0.641975,0.685185
PIT,Eastern,Metropolitan,98,41,24,16,27,20252026,81,288,261,0.506173,0.604938
PHI,Eastern,Metropolitan,96,42,27,12,5,20252026,81,246,241,0.518519,0.592593
BUF,Eastern,Atlantic,108,50,23,8,48,20252026,81,285,237,0.617284,0.666667
TBL,Eastern,Atlantic,106,50,25,6,61,20252026,81,288,227,0.617284,0.654321
MTL,Eastern,Atlantic,106,48,23,10,29,20252026,81,281,252,0.592593,0.654321
BOS,Eastern,Atlantic,98,44,27,10,18,20252026,81,268,250,0.54321,0.604938
OTT,Eastern,Atlantic,97,43,27,11,30,20252026,81,275,245,0.530864,0.598765
